Country,Year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,Population_Density,Birth_Rate,Child_Mortality
Bhutan,2020,771.6119995,42.31599808,97.31322263,2.460712607,0.1764242183,0.04964054142,96.73119365,3.268806351,0.0,0.0,98.10662849,1.3591415,0.4169208475,0.1173091586,20.2544834819088,12.65,27.5492
Belize,2015,360.9259949,45.40599823,97.17559498,1.227940493,1.568222535,0.02824198817,95.65383206,1.421919005,2.872517994,0.05173093576,99.00529,0.99471,0.0,0,15.7768960982025,21.709,15.3174
Bangladesh,2015,156256.2813,34.30800247,97.10160247,1.087988961,0.7215616582,1.08884691,96.77301128,1.046214162,0.7317473217,1.449027237,97.73077968,1.167978177,0.702058435,0.3991837074,1212.49135745563,19.158,37.9716
Malaysia,2020,32365.99805,77.15999603,97.09990707,0.3545396865,2.545553241,,90.19744812,0.5444513971,9.258100478,,99.14309591,0.2983242605,0.4685798319,0.09,101.05004717699,15.417,7.7239
Malaysia,2015,30270.96484,74.21299744,97.05220256,0.3630055004,2.584791939,,90.91830922,0.5488026714,8.532888105,,99.18356605,0.2984460363,0.427987911,0.09,94.5634850098919,17.101,8.1572
Cuba,2020,11326.61621,77.19400024,97.00269616,1.471384542,1.252811506,0.2731077963,94.38665114,2.591752445,1.905972935,1.115623477,97.77557664,1.1403859,1.059840374,0.02419708411,108.869922928709,9.344,5.115
Russian Federation,2020,145934.4531,74.75400543,96.99254807,0.6219963766,2.38545555,,91.54410196,1.583163513,6.872734531,,98.83259961,0.2973899687,0.6700104236,0.2,8.86891988517952,9.8,5.4137
Saint Lucia,2020,183.6289978,18.8409996,96.88784457,1.815652166,1.296503269,0.0,96.81402383,1.734152255,1.451823918,0.0,97.20582219,2.166718886,0.6274589237,0,,,24.4794
Viet Nam,2020,97338.58594,37.34000015,96.88435687,0.0,3.115643126,0.0,95.51453844,0.0,4.48546156,0.0,99.18304001,0.0,0.816959987,0,308.359102061392,15.4,20.8524
Paraguay,2015,6688.746094,60.75,96.83621453,0.328424003,2.756768199,0.07859326698,93.34470029,0.6976664397,5.757395646,0.2002376288,99.09204873,0.08985997117,0.818091301,0,15.5498363956708,22.428,22.1858
Iran (Islamic Republic of),2015,78492.21094,73.35800171,96.80698708,1.994891573,1.126061081,0.07206026561,92.16250265,4.221624781,3.345396383,0.2704761905,98.49376087,1.186191432,0.3200476961,0,,,15.5324
